分数,地区,标签
161.8114656,0,
538.1235409,100,
111.6942657,0,
173.2307333,0,
538.1235409,100,
111.6942657,0,
49.34503609,100,
9.097584669,0,
13.92412459,0,
173.2307333,0,
111.6942657,0,
112.169074,0,
84.46218412,100,
173.2307333,0,
22.08587346,0,
112.169074,0,
84.46218412,100,
22.08587346,0,
115.9883735,0,
112.169074,0,
84.46218412,100,
22.08587346,0,
92.72223308,100,
115.9883735,0,
92.72223308,100,
115.9883735,0,
116.3589444,0,
913.2419519,0,
148.8034272,100,
92.72223308,100,
116.3589444,0,
913.2419519,0,
148.8034272,100,
116.3589444,0,
913.2419519,0,
148.8034272,100,
59.54712878,100,
46.54797268,0,
18.80716755,0,
59.54712878,100,
148.2184406,0,
47.24406251,100,
59.54712878,100,
78.49532235,100,
148.2184406,0,
110.1352669,100,
47.24406251,100,
78.49532235,100,
83.16372931,0,
148.2184406,0,
63.29196882,100,
14.00462131,100,
47.24406251,100,
78.49532235,100,
83.16372931,0,
63.29196882,100,
9.889047252,0,
14.00462131,100,
451.8016084,100,
83.16372931,0,
63.29196882,100,
13.77838625,0,
12.53028482,100,
14.00462131,100,
124.1836532,0,
13.77838625,0,
12.53028482,100,
13.77838625,0,
114.1004172,0,
12.53028482,100,
77.56998055,0,
29.48108901,0,
114.1004172,0,
77.56998055,0,
89.20459152,0,
73.78847164,100,
114.1004172,0,
41.7416833,100,
77.56998055,0,
89.20459152,0,
73.78847164,100,
391.3507157,100,
41.7416833,100,
410.6950149,0,
89.20459152,0,
73.78847164,100,
41.7416833,100,
59.93991853,0,
259.2760437,0,
59.93991853,0,
16.75911049,100,
59.93991853,0,
137.2037166,0,
16.75911049,100,
137.2037166,0,
280.8063079,100,
16.75911049,100,
63.14452642,100,
137.2037166,0,
103.9314435,100,
105.0833445,0,
280.8063079,100,
63.14452642,100,
280.8063079,100,
63.14452642,100,
131.0052567,100,
124.9209645,0,
131.0052567,100,
55.37350009,100,
124.9209645,0,
131.0052567,100,
56.9891796,100,
124.9209645,0,
6.159782821,100,
133.231667,0,
12.73218593,0,
56.9891796,100,
6.159782821,100,
13.94498089,0,
64.97864973,100,
133.231667,0,
56.9891796,100,
261.0717693,100,
6.159782821,100,
133.231667,0,
555.7667857,100,
22.52148159,0,
261.0717693,100,
598.6743573,100,
261.0717693,100,
598.6743573,100,
35.83145534,100,
17.83553751,100,
598.6743573,100,
218.4867583,0,
215.2884772,0,
45.33975709,0,
218.4867583,0,
167.5272928,100,
107.5404793,0,
141.1670987,0,
112.5382025,0,
106.3016314,0,
116.7891495,0,
165.1107632,0,
352.782311,100,
82.4419634,100,
384.1080791,100,
183.6242072,0,
90.11770752,0,
426.6391267,100,
90.11770752,0,
32.11504298,0,
39.88767147,0,
2.45931168,0,
154.2344345,100,
3109.280246,0,
172.857766,100,
150.9273031,100,
45.01038597,0,
883.9920353,100,
42.16414566,100,
57.12026607,100,
89.44996406,100,
72.28810188,0,
38.7267442,0,
185.773288,100,
306.8891013,100,
117.5253134,0,
53.2606687,0,
284.7521077,0,
86.18632525,0,
160.5042504,0,
86.18632525,0,
61.35460059,0,
61.35460059,0,
229.9617821,100,
75.37712161,0,
366.1494141,100,
21.70203188,100,
22.83467851,0,
30.11126814,0,
195.9420252,100,
423.2205046,100,
139.6140604,0,
158.3913425,100,
19.30106707,100,
232.6607209,100,
221.0071448,100,
191.2504064,100,
15.84589651,100,
23.59120424,100,
51.76323181,0,
73.59239202,0,
39.14671802,0,
15.78227634,100,
44.08584206,100,
205.2001654,0,
84.09361681,0,
6.717975425,100,
449.3748306,100,
162.8663527,100,
636.2573168,100,
296.3446643,100,
189.7903722,0,
395.8601786,0,
31.8598705,0,
148.4551419,100,
31.38957343,0,
163.0311042,100,
110.8741204,0,
4.985031023,0,
149.0285328,0,
13.41502445,0,
44.31260927,0,
155.3256402,100,
44.31260927,0,
104.8846543,0,
533.714166,0,
51.93750028,0,
245.66265,100,
85.7854326,0,
133.0799116,0,
131.7078128,0,
45.1443904,100,
44.23074298,100,
56.31878659,100,
46.40551907,100,
475.8903056,100,
41.47289711,0,
12.67719911,0,
88.46753167,0,
-0.457137001,0,
134.4420798,0,
59.19985453,100,
174.2727661,100,
44.54037196,100,
59.53616764,100,
116.945508,0,
51.12945195,100,
76.6347552,100,
60.00219952,0,
60.00219952,0,
46.97698583,0,
46.97698583,0,
502.3048471,0,
205.1831102,100,
502.3048471,0,
38.33840941,100,
72.05097114,100,
44.33184511,100,
31.50945757,100,
62.28439195,100,
38.19628846,100,
139.4557361,100,
55.09867741,0,
45.18480885,100,
698.3792826,0,
13.19720627,100,
117.0711163,100,
51.03855984,0,
588.7783615,100,
16.57892392,100,
8.774193477,100,
37.26624153,100,
131.2731684,0,
30.09586353,100,
17.10594659,0,
57.16058008,0,
93.98354362,0,
68.48049454,0,
70.37183106,100,
93.98354362,0,
12.16998486,100,
115.9180654,100,
115.9180654,100,
121.8827409,0,
15.8703162,100,
56.91543425,0,
56.91543425,0,
73.55044222,0,
73.55044222,0,
98.09599979,100,
115.130791,0,
53.85541211,100,
30.12681241,0,
133.1661957,0,
204.3092121,0,
168.2308227,100,
224.5384467,100,
100.217425,0,
94.19199014,100,
268.8913339,0,
77.79891257,100,
1001.378198,100,
90.3986322,100,
1126.57256,100,
1109.334027,100,
88.14171419,100,
127.5115601,100,
376.2415373,0,
291.3746833,100,
134.0952611,0,
166.5407062,100,
96.91021953,0,
66.31218952,100,
70.26689476,100,
66.31218952,100,
116.1465612,0,
3.560185332,0,
260.5173832,0,
7.063464635,0,
54.63024563,0,
106.1188529,100,
45.593581,100,
24.92348898,100,
29.4146502,100,
675.0920193,100,
29.6005027,100,
86.16864301,100,
56.28706678,100,
60.24861702,100,
130.0970614,100,
130.0970614,100,
140.3477494,100,
80.94482786,100,
231.9961385,0,
206.9486479,0,
206.9486479,0,
139.1563688,0,
57.33457237,100,
27.1266929,100,
39.15617583,100,
13.92651823,100,
35.81388464,100,
