日期,标题,分数
0203am,关于疫情 武汉传出30个好消息.txt,168.5610258
0203am,最新疫情：一个坏消息三个好消息.txt,115.9442016
0203am,为了人民 打赢这场战“疫”！.txt,194.1175491
0203am,粪口会传播新型冠状病毒吗？钟南山回应了.txt,25.1929502
0203pm,关于疫情 武汉传出30个好消息.txt,168.5610258
0203pm,习近平主持中央政治局常委会会议 研究加强新冠肺炎疫情防控工作.txt,22.57672866
0203pm,为了人民 打赢这场战“疫”！.txt,194.1175491
0203pm,山东威海出现聚集性疫情：一绿皮车传染16人.txt,360.0090872
0203pm,粪口会传播新型冠状病毒吗？钟南山回应了.txt,25.1929502
0204am,关于疫情 武汉传出30个好消息.txt,168.5610258
0204am,2月3日0-24时31省份新增新冠肺炎确诊病例3235例.txt,34.93867488
0204am,习近平主持中央政治局常委会会议 研究加强新冠肺炎疫情防控工作.txt,22.57672866
0204am,面对中国疫情 白宫的反应让美国网友也看不下去了.txt,209.215818
0204am,山东威海出现聚集性疫情：一绿皮车传染16人.txt,360.0090872
0204pm,关于疫情 武汉传出30个好消息.txt,168.5610258
0204pm,习近平主持中央政治局常委会会议 研究加强新冠肺炎疫情防控工作.txt,22.57672866
0204pm,湖北又一个城市确诊病例破千 目前已有三城.txt,62.98166501
0204pm,山东威海出现聚集性疫情：一绿皮车传染16人.txt,360.0090872
0204pm,抗疫鏖战 中央政治局常委会会议传递三重深意.txt,345.7190299
0205am,湖北又一个城市确诊病例破千 目前已有三城.txt,62.98166501
0205am,除了李兰娟团队成果 武汉还有好消息：5种药物可能有效.txt,165.2796466
0205am,抗疫鏖战 中央政治局常委会会议传递三重深意.txt,345.7190299
0205pm,新型冠状病毒感染肺炎10个新判断！.txt,24.7011991
0205pm,湖北又一个城市确诊病例破千 目前已有三城.txt,62.98166501
0205pm,这名湖北干部 火线提拔.txt,72.0726688
0205pm,习近平：全面提高依法防控依法治理能力 为疫情防控提供有力法治保障.txt,356.0965641
0205pm,抗疫鏖战 中央政治局常委会会议传递三重深意.txt,345.7190299
0206am,关键时期 习近平指导全民战“疫”依法防控.txt,44.63744637
0206am,堰塞湖即将泄洪 武汉疫情面临三大挑战.txt,45.53992848
0206am,新型冠状病毒感染肺炎10个新判断！.txt,24.7011991
0206am,外交部：来自美方的一批援助防疫物资4日运抵武汉.txt,91.77309882
0206am,这名湖北干部 火线提拔.txt,72.0726688
0206am,习近平：全面提高依法防控依法治理能力 为疫情防控提供有力法治保障.txt,356.0965641
0206pm,堰塞湖即将泄洪 武汉疫情面临三大挑战.txt,45.53992848
0206pm,罕见特殊的场合 普京针对中国疫情再表态.txt,314.2886136
0206pm,新型冠状病毒感染肺炎10个新判断！.txt,24.7011991
0206pm,这名湖北干部 火线提拔.txt,72.0726688
0206pm,武汉十四日：英雄的城市 你定能过关！.txt,181.1645653
0206pm,疫情上报“第一人”，记大功！.txt,95.43540022
0206pm,习近平：全面提高依法防控依法治理能力 为疫情防控提供有力法治保障.txt,356.0965641
0207am,钟南山谈抗病毒特效药：这个小心 一定要伦理审查.txt,5.446404397
0207am,堰塞湖即将泄洪 武汉疫情面临三大挑战.txt,45.53992848
0207am,罕见特殊的场合 普京针对中国疫情再表态.txt,314.2886136
0207am,华南农业大学发现穿山甲为新冠病毒潜在中间宿主.txt,40.56466754
0207am,武汉十四日：英雄的城市 你定能过关！.txt,181.1645653
0207am,疫情上报“第一人”，记大功！.txt,95.43540022
0207pm,堰塞湖即将泄洪 武汉疫情面临三大挑战.txt,45.53992848
0207pm,罕见特殊的场合 普京针对中国疫情再表态.txt,314.2886136
0207pm,国家卫健委：全国新增确诊病例连续两天明显下降.txt,28.61612544
0207pm,湖北不用等核酸检测就可确诊.txt,69.0602005
0207pm,武汉十四日：英雄的城市 你定能过关！.txt,181.1645653
0207pm,疫情上报“第一人”，记大功！.txt,95.43540022
0208am,疫情防控关键时期 习近平主持召开这个会议有何深意？.txt,292.7689109
0208am,国家卫健委：全国新增确诊病例连续两天明显下降.txt,28.61612544
0208am,湖北不用等核酸检测就可确诊.txt,69.0602005
0208am,全国非湖北地区确诊病例四连降.txt,11.1710457
0208pm,全国一盘棋 习近平的战“疫”部署.txt,50.0306117
0208pm,国家卫健委：全国新增确诊病例连续两天明显下降.txt,28.61612544
0208pm,王贺胜履新湖北省委常委前，已赴鄂工作多日.txt,211.4636199
0208pm,中央赴湖北指导组：应收尽收 刻不容缓.txt,78.62310787
0208pm,湖北不用等核酸检测就可确诊.txt,69.0602005
0209am,全国一盘棋 习近平的战“疫”部署.txt,50.0306117
